뉴스제목,주가변동
 물꼬  터진 리츠 상장 하반기  곳  조원 이상 공모,0
 기업공시  월   일 영우디에스피     억원 규모 장비 공급 계약 등,0
 마켓인사이트  리츠 성장기 이제 시작  은행 대체할 상품 속속 선보일 것 ,0
  곳 상장 채비  공모 리츠 전성시대 오나  주가는 부진 ,0
줄 잇는 상장취소 떠오르는  공모주  인기에 찬물 우려,0
내달 상장하는 제이알리츠  오버행  잠재울까,0
신규상장 이어지는데   리츠 저평가 그대로,0
매물로 나온 판교  카카오 빌딩  행정공제회 지분매각 추진,0
 단독  행정공제회  판교  카카오 빌딩  지분 매각 추진,0
 글로벌 부동산 톡톡 진화를 거듭하는 싱가포르 리츠 시장   아시아 최초로 리츠    ,0
상승장에 투자자 외면받는 리츠     수익률에도 인기 시들,0
 마켓인사이트 리츠  인기 뚝 떨어지자 상장도 줄줄이 연기,0
신한알파리츠 몸집  조원대로   용산 트윈시티      억에 매입,0
 마켓인사이트 신한리츠  서울역  트윈시티 남산      억원에 인수,0
 신한알파  남산 트윈시티 매입 주주가치 극대화  삼성,0
신한알파리츠  남산 트윈시티 추가 매입   보유자산    조원으로   삼성증권,0
 e공시 눈에 띄네  코스피   일,0
 기업공시  월   일 KAI     억 규모 경찰청 헬기 공급계약 체결 등,0
성장주 쏠림에 리츠 상장 줄줄이 연기,0
증시 상승에 수익률 찬밥된 리츠,0
상장리츠  퇴직연금 시장 주인공은 나야 나 ,0
 배당주 투자전략  한박자 쉰 배당주 두걸음 뛰기 전에 담아라,0
변동성 확대에 다시 뜨는 리츠,0
 찬밥  취급받던 리츠  꿈틀  배당시즌 맞아 부활하나,0
 다시보자 리츠  팬데믹 충격딛고 주가상승,0
 시그널  롯데손보  사옥팔아      억원 확보   자산유동화 속도,0
치솟는 글로벌 리츠 지수 상장 리츠 반등 속도 낼까,0
백신 기대감에 글로벌 리츠지수  주일 새    상승 회복 속도 낼까,0
 클릭 e종목  신한알파리츠  우량자산 편입 지속   성장성   ,0
자산 순환매 장세 원유 리츠로 돈 몰린다,0
상승 랠리에서 소외됐던 리츠  연말되니 투자자 몰리네,0
연말 배당시즌 리츠  재발견,0
 실전재테크   똘똘한 한 채 는 그만  부동산도  뷔페식  골라먹기,0
배당의 계절  리츠가 돌아왔다,0
개인 투자자 몰리는 리츠   고배당 세제혜택 기대감 ,0
 일 장 마감 후 주요 종목 뉴스,0
신한알파리츠  오는   일 주주총회 소집,0
 e공시 눈에 띄네 코스피  일,0
미래에셋밸런스리츠부동산펀드  국내리츠에 투자  개월 수익률  위,0
 fn마켓워치 파인에비뉴 B동     억대에 삼성SRA 품에,0
 마켓인사이트 제이알글로벌리츠  글로벌 지수 MSCI FTSE연달아 편입,0
 마켓인  내년 우량자산 담자  신한알파리츠  발빠른 행보 ,0
신한금투  IRP 고객 대상  새해 소복소복  이벤트,0
신한금투  IRP계좌 신규개설  새해 소복소복  이벤트,0
신한금융투자   새해 소복소복  이벤트 실시,0
신한금융투자   월말까지  새해 소복소복  이벤트 실시,0
리츠시장 날개 달아줄 리츠ETF  갈 길 멀었다 ,0
건설 소비재도 뛰는데    상장 리츠 는 찬바람,0
 나도 쿠팡 수혜주    물류리츠 들썩,0
 나도 쿠팡 수혜주    물류리츠 들썩,0
견조한 주가 높은 배당률 주목받는 리츠 ,0
변동성 장세에 견조한 주가 높은 배당률 주목받는 리츠    포트라이트 ,0
신한알파리츠  역삼동 빌딩 자산편입 목표가  유진,0
유진   신한알파리츠  심성화재 역삼빌딩 매입 목표가  ,0
 클릭 e종목  신한알파리츠  역삼빌딩 매입 긍정적  목표가  ,0
 일 장 마감 후 주요 종목 뉴스,0
신한알파역삼위탁관리부동산투자사     억 규모 유증 결정,0
신한알파리츠  삼성화재 역삼빌딩 편입 배당금 상향 가능성 유진,0
 번째 빌딩 산 신한알파리츠  배당금 증가 기대  ,0
LH 직원 부동산 투기에  리츠  투자로 박탈감 줄여볼까,0
 재송   일 장 마감 후 주요 종목 뉴스,0
 커피값으로 건물주  어디 투자해볼까,0
 마켓인사이트 신한알파 이리츠코크렙 등 상장리츠 수천억원대 리파이낸싱 나선다,0
변동장에 부활한 리츠 운용사  신규 진출 대형화로 경쟁 치열,0
 리파이낸싱  나선 상장 리츠 이자 줄여 배당 늘린다,0
 기업공시  월 일 압타바이오  혈액암치료제 관한 호주 특허 취득 등,0
 재송  일 장 마감 후 주요 종목뉴스,0
신한금융그룹  로지스밸리와 물류센터 상장리츠 추진  맞손 ,0
 시그널  이리츠코크렙  리파이낸싱 성공   배당률     로 확대,0
리밸런싱으로 자산 가치 UP   신고가 이어가는 리츠주,0
신한금융     아마존 물류창고  지분 매각,0
미운 오리에서 백조 된 리츠 특별배당 쏠쏠,0
인플레이션 방어에 부동산정책 테마까지  리츠 의 질주,0
 ETF 거래하고 상품권 받아가세요  신한금투   ETF 투자의 신  이벤트,0
신한금융투자   ETF 투자의 신  이벤트 실시,0
신한금융투자   ETF 투자의 신  이벤트 실시,0
신한금융투자   ETF 투자의 신  이벤트 실시,0
신한금융투자   ETF 투자의 신  이벤트 실시,0
증권사  IRP 경쟁 불붙었다  신한 KB도 수수료 면제 합류,0
리츠의 시대 더 앞당기려면,0
 살아나는 경기  리츠 도 기지개  코람코에너지 롯데리츠 상승,0
리츠의 시대  이것만은 주의하자,0
침체됐던 리츠  활짝 핀다,0
 마켓인사이트 신한리츠운용    아마존 물류센터 품었다,0
 마켓인사이트 라인 삼성생명 빌딩 담은 NH올원리츠      억원 투자유치 추진,0
중복청약 금지에 공모주펀드로 몰리는 자금,0
인플레 방어   순위  리츠 투자매력  쑥   이제는 리츠 시대 ,0
시세차익에 배당까지   뜨거운  리츠  ,0
시세차익에 배당까지 뜨거운 리츠  주택 호텔   물류센터 아울렛 오피스   포트라   ,0
리츠   연초대비      오른 종목도 나왔다 지금 투자할까 ,0
 더 강한 놈들이 온다  하반기 역대급 리츠 IPO 시장 선다  포트라이트 ,0
하반기 역대급  리츠 IPO  시장 선다,0
 마켓인사이트 국민연금  서울역 인근 서울시티타워 매각 작업 착수,0
너무 달렸나  힘 빠진 리츠  공매도 공세까지,0
    수익낸 리츠  박스피  대안 투자 떴다,0
 올해에만  조 몰렸다  고수도 돈 벌기 어렵다는 박스피에  물 만난  투자처,0
신한금융투자  고배당주로 안정성 확보 우량공모주 비중도  UP ,0
 인터뷰  남궁훈 신한리츠  꾸준히 몸집 키울 것 ESG채권 발행 도전 ,0
 년 만에    리츠  등장  리츠 IPO 봇물  큰장 선다 ,0
 K 리츠  부활 신호탄 하반기 리츠 IPO 대전 펼쳐진다,0
신한알파리츠  서울역 와이즈타워 편입 배당 우상향 전망 삼성,0
흔들리는 증시 속에 재조명 받는 리츠 투자,0
곧 배당투자 계절 찬 바람 불기 전 담아둘 배당 는 ,0
 리츠  안정적 배당 장점 공모주 대비 몸값 논란도 적어 ,0
신한알파리츠  특별관계자 지분변동,1
현대차증권  지난해 사상 최대 실적  IB PI 부문 호조 ,1
현대차증권  지난해 순익    억원   사상 최대,1
현대차증권  지난해 영업이익    억원  연간 사상최대 실적,1
현대차증권  사상 최대실적 달성 작년 영업익    억원,1
현대차증권  지난해  분기 영업익    억 전년       ,1
현대차증권  지난해 영업익    억원 사상 최대 실적 달성,1
NH투자증권   iSelect K REITs TR  지수 출시,1
NH투자증권   아이셀렉트 케이리츠 토탈리턴  지수 출시,1
NH투자증권  아이셀렉트 케이리츠 토탈리턴 리츠지수 출시,1
NH투자증권   아이셀렉트 케이리츠 토탈리턴  지수 출시,1
NH투자증권  아이셀렉트 케이리츠 토탈리턴 지수 출시,1
현대차증권  지난해 영업익    억원 사상최대 실적 달성,1
작년 열기는 거품   급격하게 얼어붙은  리츠 ,1
IB PI부문 효자노릇  톡톡  현대차증권 사상 최대 실적,1
  만원이면 나도   건물주 배당 매력 리츠의 재발견,1
물류센터에서 주유소까지 영토 넓히는 공모 리츠,1
장 마감 후 기업공시  월  일 ,1
 환매 쉽고 배당수익 높은 리츠 투자  세제 혜택도 쏠쏠   제  회 fn재테크쇼   ,1
 시그널  하이트진로  서초사옥   신한알파 품나   공모리츠 탄력,1
 시그널  하이트진로 서초사옥  리츠      숏리스트  곳 선정,1
 앵커리츠      억 놓고 코람코 신한 마스턴  한판승부 ,1
 일 장 마감 후 주요 종목뉴스,1
장 마감 후 기업공시  월  일 ,1
 공시 신한알파리츠  종속회사 서울 중구 대일빌딩    억에 매입,1
신한알파리츠  종속회사가 서울 중구 대일빌딩    억원에 매입,1
 주가 빠진 상장 리츠  배당수익률 고려하면 지금이 투자 적기 ,1
기업 공시  월  일 ,1
코로나 하락장에 배당수익률   대 주식 속속 등장,1
배당수익   로 껑충 매력커진 리츠,1
 실전재테크 미지의  제로금리 시대   피난처는 어디에,1
비어가는 상가  공모 리츠도  코로나 불똥 ,1
공모가 밑으로 뚝 떨어진 리츠 배당 매력  쑥 ,1
 대 운용사 추천  향후   년 장기투자 펀드 는 ,1
코로나  에 상업 부동산  흔들  국내외 리츠 손실 확대,1
불확실성의 시대   년 후 웃을 수 있는 펀드는 ,1
코로나에 상업용 부동산도 흔들,1
오늘의 증시 메모  월  일 ,1
 증시일정  일 ,1
 증시일정  일 ,1
 유가증권 메모    일  유상신주배정기준일 신한알파리츠,1
리츠   코로나   직격탄 주가도 거래량도  뚝 ,1
코로나  로 주저앉은 리츠  국내는 배당 줄이지 않을 것 ,1
리츠 ETF 나온다는데 원유 그림자  성큼 ,1
기업공시  월    ,1
 마켓인사이트   년 넘게 버려졌던 땅   알파돔시티 가 이제는 카카오 네이버가    ,1
장 중 기업공시  월   일 ,1
신한알파리츠  유증 신주발행가     원 확정,1
코로나에 낙폭 확대  저평가 고배당 매력 커진 리츠,1
오늘의 증시 메모  월   일 ,1
오늘의 증시 메모  월   일 ,1
 증시일정   일 ,1
 유가증권 메모     일  변경상장 미원에스씨 이익소각  등,1
 증시일정   일 ,1
코로나로 주춤한 리츠 반등세 투심 회복되나,1
오늘의 증시 메모  월   일 ,1
 fnRASSI 신한알파리츠        오르며 거래량 증가,1
 여의도TMI  리츠계 샛별  NH프라임리츠  상장 후 관심 뚝 떨어진 이유,1
오피스 주유소 호텔 골라 투자  각양각색  리츠  하반기 줄상장,1
 위축된 공모리츠 코로나  부동산 타격 커 배당 유지될까,1
 위축된 공모리츠  고를 반찬이 없다  리츠상품 다양화해야,1
하반기  리츠 가 다시 뜬다 롯데리츠 이리츠코크렙  주목 ,1
 신한알파리츠  국내 상장 리츠 중 투자매력  등  하나금융투자,1
 클릭 e종목  신한알파리츠  성장형 리츠의 투자 진면목 보여줘 ,1
신한알파리츠  국내 상장 리츠 중 투자매력 높아 하나금투,1
신한알파리츠  국내 상장리츠 중 최고 매력  하나금융투자,1
신한알파리츠 불성실 공시법인 지정예고,1
움츠렸던 공모리츠 반등 신호탄 증권가  투자 적기 ,1
기준금리 인하에 증권 은행   활짝  한국금융지주    강세,1
줄폐업에도    배당  주유소 리츠의 유혹,1
오늘의 증시 메모  월  일 ,1
 유가증권 주간메모   월  일 월     월   일 금 ,1
 증시일정  일 ,1
 유가증권 메모    일  보통주추가상장 신한알파리츠 구주주배정 ,1
신한알파리츠 불성실 기업 미지정,1
  일 장 마감 후 주요 종목 뉴스,1
신한알파리츠  감경으로 불성실공시법인 미지정,1
 e공시 눈에 띄네  코스피   일,1
 재송   일 장 마감 후 주요 종목 뉴스,1
 글로벌 부동산 톡톡 IT산업에 베팅하는 부동산투자회사들,1
고강도 부동산 대책 건설주 아닌 리츠 에 유동성 몰린다,1
첫 아파트리츠 경쟁률    대 ,1
부동산 리츠 투자로     수익  나도 청약해볼까,1
 마켓인사이트 신한리츠운용  서울역 인근  트윈시티 남산  인수 우선협상자 선정,1
신한알파리츠  특별관계자 지분변동,1
장 마감 후 기업공시  월   일 ,1
 빨강파랑 어떤 빌딩의 주인이 돼볼까,1
장 중 기업공시  월   일 ,1
배당수익률   로 올라선 리츠   주가 하락 과도  삼성,1
 Money   Riches  리츠 전성시대 다시 올까 증시로  조이상 몰려온다,1
공모 나선 리츠 고전 상장 철회하거나 주관사가 떠안거나,1
 고수칼럼  리츠 전성시대   절세 배당  두마리 토끼 잡을까,1
증시 웃는데 배당주 리츠  찬밥 신세  인컴상품 소외 이유는 ,1
안전자산인 배당  리츠  수익률 낮자 투자금 썰물,1
 애물단지  리츠  투자해도 되나 ,1
장 마감 후 기업공시  월   일 ,1
신한알파남산위탁관리부동산투자회사      억원 규모 오피스 취득,1
신한알파남산위탁관리부동산투자회사    억원 규모 유상증자 결정,1
유진   신한알파리츠  트윈시티 남산 오피스 매입 성장 기대 ,1
신한알파리츠  신규자산 편입에 배당수익률 상향 가능성 유진,1
신한알파리츠  트윈시티 남산 가치 상승 기대 유진,1
 클릭 e종목  신한알파리츠  추가자산 편입으로 성장 지속 ,1
신한알파리츠  트윈시티 남산 가치 상승 기대  유진,1
 마켓인  반짝인기  끌던 상장 리츠 성장성 한계에  먹구름 ,1
부동산 자산 다양화에도 리츠 주가 펀드 동반  지지부진 ,1
장 마감 후 기업공시  월  일 ,1
신한알파리츠  자회사 주식    만주    억원에 추가 취득 ,1
신한리츠운용  첫 물류센터 리츠  신한로지스제 호리츠  선보여,1
신한알파리츠  신한L타워 편입 보유자산       삼성,1
 기업공시  월   일 티웨이항공     억 규모 유상증자 후    주 배정 무상   ,1
유진   신한알파리츠  신한L타워 편입 배당수익 기대 ,1
신한알파리츠  다섯번째 자산 편입 성공 내년 유증 전망 유진,1
판교  카카오빌딩 에 기관  빅   눈독,1
 단독  판교  카카오빌딩  지분매각 흥행 국내 기관투자자  빅   관심,1
배당수익률    변동성 장세에 재평가 받는 리츠,1
 단독 마켓인사이트 몸집 불리는 롯데리츠 새 자산 편입 위해     억 이상 유상   ,1
롯데리츠  유상증자로  덩치  키운다,1
을지로 파인애비뉴 B동 재매각 속도  연내 입찰,1
 배당이나 받자     변동성 커지자 몸값 높이는 공모리츠,1
 거리두기 완화로 배당컷 우려  리츠 비중확대 기회 ,1
 만원으로 나도 건물주       배당 받아볼까,1
하늘은 높고 리츠는 달린다  코스피    오를 동안 리츠는    급등,1
 건강한 연금만들기    백만장자 되고 싶어   연금에 리츠 담아봐,1
연말 배당시즌에 다시 불타는 리츠주,1
K방역 덕에   오피스 리츠 홀로 강세,1
신한금융투자   환급 구조대  내 월급을 구해줘요   이벤트 실시,1
신한금융투자   환급 구조대  내 월급을 구해줘요   이벤트 실시,1
신한금융투자   환급 구조대  내 월급을 구해줘요   이벤트,1
신한금융투자   환급 구조대  내 월급을 구해줘요   이벤트 실시,1
 STOCK  신한알파리츠  판교 오피스 가치 상승에 목표가도 상향,1
신한알파리츠  판교 오피스 시장 강세   목표가  삼성증권,1
저평가 된 리츠  매수 해볼까,1
기대 못미친 리츠 성적표  세제 혜택 타고 내년에는 달릴까,1
 미리보는 이데일리신문   정부 공급대책 미흡 이대론 전세난 지속 ,1
국내 첫 데이터센터 리츠 나온다는데 투심 다시 타오를까 분석  ,1
부동산 리츠 한숨  배당    원 받았는데 주가    원 하락 ,1
 커피값으로 건물주되기 어렵다   상승장에도 힘 못쓰는 공모 리츠,1
장 중 기업공시  월  일 ,1
신한알파리츠 종속회사  삼성화재 역삼빌딩     억원에 매입,1
신한알파리츠  여섯번째 자산 편입      대형 리츠로 성장 삼성,1
신한알파리츠       대형 리츠로 성장 삼성,1
 클릭 e종목  신한알파리츠  삼성화재 역삼빌딩 편입   배당수익 확대 기대 ,1
 기업공시  월  일 에이티세미콘     억 원 규모 리더스기술투자 지분 양수 결   ,1
 커피값으로 건물주되기  국내 상장 리츠 어떤게 있나,1
 시그널  다시 주목 받는  리츠    롯데리츠      억 증자 성공,1
출렁이는 증시 대신  상장리츠  어떨까,1
경기 회복세에   꿈틀대는 리츠주,1
장 마감 후 기업공시  월 일 ,1
 일 장 마감 후 주요 종목뉴스,1
신한알파리츠  종속회사 감자결정,1
 마켓인사이트 신한금융그룹  로지스밸리와 물류센터 리츠 추진,1
신한알파리츠  신한알파남산위탁관리부동산투자회사 주식 취득,1
 실전 재테크 소액 부동산 투자로 월세 벌어볼까 ,1
삼성   신한알파리츠  크래프톤타워 가치  배당증가 기대 ,1
신한알파리츠  크래프톤타워 가치 상승으로 리파이낸싱 삼성,1
신한알파리츠  자산가치 상승을 주주에게 환원한 사례 삼성 ,1
 Mint  주식 부동산 가상화폐 다 불타오르는데  왜 나만 추운거야,1
경기 회복 타고   리츠 도 살아난다,1
불안한 주식  치솟은 집값  이럴땐 부동산 간접투자  리츠 ,1
장 마감 후 기업공시  월  일 ,1
  일 장 마감 후 주요 종목 뉴스,1
신한알파남산위탁관리부동산투자사     억 규모 유증 결정,1
경기 회복 배당확대  다시 뛰는 리츠 ,1
 기업공시  월  일 에스씨엠생명과학  췌장염 줄기세포 치료제 국내 특허 취득 등,1
 재송   일 장 마감 후 주요 종목 뉴스,1
 특징주 상장 리츠  연달아   주 신고가 경신,1
상장 리츠   배당 기대감으로 연달아 오름세,1
 상장 리츠  지난해   대 배당률 법 제도 개선 필요 ,1
 마켓인사이트 덩치 키우는 상장 리츠들 제이알리츠도 새 자산 편입 추진,1
 퇴직연금 수수료 비싸다고요  우리는 안받습니다      IRP 수수료 제로  신   ,1
삼성증권이 쏘아 올린  제로 수수료  증권사  IRP 고객 쟁탈전 나섰다,1
신한 KB 등 증권사들  IRP 수수료 면제 경쟁,1
 너도나도  원   IRP 수수료 전쟁에 신한금투 KB증권도 참전,1
 개인형 IRP 수수료 제로  증권가  고객 유치 경쟁  후끈 ,1
증권업계 IRP 수수료 면제 확산 신한  MTS  KB  전면 ,1
 퇴직연금 고객 붙잡자  증권사  수수료 인하 경쟁,1
신한금투 KB증권도 IRP 수수료 전액 면제,1
 수수료 전액 면제  신한 KB도 뛰어든 IRP 가입자 유치 경쟁,1
KB증권 신한금융투자  IRP 수수료 전액 면제,1
신한알파리츠  오는   일 주주총회,1
 실물경제 기지개   코피  봤던 리츠 급등,1
리츠   경기회복에 볕 드나  롯데 코람코리츠 등 주가  꿈틀 ,1
 특징주 경기회복 금리상승 속  리츠  강세 지속,1
재테크 초보라면  이것  먼저 살펴보세요  한경제의 솔깃한 경제  주코노미TV ,1
백신 보급에 부활한 리츠 실물경제 회생 케이탑 에이리츠  훨훨 ,1
     상반기 베스트 애널리스트 부문별 순위표,1
제이알글로벌리츠  해외투자 본격화   맨해튼 오피스빌딩 인수 추진,1
직접 투자의 시대 쩐의 전쟁 승자는,1
 리츠로 리치되자  수익률 배당수익  두 마리 토끼 한번에,1
 기준금리 인상  배당 매력  물만난 공모리츠,1
박스권 장세  분기 배당금 받아볼까  분기 배당주 미리  줍줍 ,1
불확실한 증시   분기 배당금 받아볼까,1
장 중 기업공시  월  일 ,1
코스피     찔끔  오를 때 리츠  올들어 평균     올랐다,1
