뉴스제목,주가변동
 기업공시  월   일 러셀    억 규모 반도체 장비 공급계약 등,0
벌크선 운임 급등 해운   물 만났네 ,0
흥아해운 채권단 관리기간 마지막 날   선택  갈림길에,0
  일 장 마감 후 주요 종목뉴스,0
장 중 기업공시   월  일 ,0
 공시  KSS해운  해외업체와    억원 규모 계약,0
KSS해운     억원 규모 선박 임대 계약 체결,0
 기업공시  월  일 이화전기      무상 감자 결정 등,0
 재송   일 장 마감 후 주요 종목뉴스,0
 유가증권 기업공시     일  세방 등,0
포스코   만원 돌파 눈앞   경기 민감주  쑥 ,0
 재송  일 장 마감 후 주요 종목뉴스,0
코스피  개미  조원 쓸어담자 낙폭 회복 환율 급등세 완화,0
수에즈 운하 사고로 막히자 해운   껑충  HMM   대 ,0
최고      뛰었던 해운주  수에즈 운하 뚫리자  뚝  전망은  이슈  ,0
해상운임  분기 다시 상승  해운사 실적 개선된다,0
 화물대란 수혜  해운  상승파도 탔다,0
코스피   거래일만     선 재돌파  선진국 경제 지표 개선 ,0
해운 운임 상승에 운송펀드      HMM 팬오션 급등,0
 특징주  운임 강세에 해운  강세   HMM 팬오션 전고점 돌파,0
 납세환경개선캠페인  조세불복분야   헌재 대법원 힘겨루기 납세자 권리구제는 뒷전,0
 공매도 재개    이건 피해라   증권가가 말하는 위험 종목들,0
 재송   일 장 마감 후 주요 종목 뉴스,0
물 들어올 때 증시 입성하는 해운 조선사,0
해상 운임 급등  HMM 등 해운주 강세,0
물 들어올 때 노 젓는 조선 해운사 상장에 속도 높인다,0
한국조선해양      억 규모 초대형 LPG선  척 수주,0
 역시 LPG선이 효자  한국조선해양      억 규모 LPG선  척 수주,0
한국조선해양  초대형 LPG선  척 수주     억원 규모,0
한국조선해양  초대형 LPG선  척     억원 수주,0
한국조선해양  초대형 LPG선  척 수주     억원 규모,0
한국조선해양  초대형 LPG선  척 수주 올해 LPG선 시장     장악,0
한국조선해양      억 원 규모 초대형 LPG선  척 수주,0
한국조선해양  초대형 LPG선  척     억원 수주,0
한국조선해양      억 규모 초대형 LPG선  척 수주,0
한국조선해양  초대형 LPG선  척     억원 수주,0
한국조선해양  LPG선  척 수주 총     억원 규모,0
한국조선해양  초대형 LPG선  척     억원 수주,0
한국조선해양  초대형 LPG선  척 수주 전세계     싹쓸이,0
한국조선해양  LPG 운반선  척 수주 추가,0
장 중 기업공시  월  일 ,0
한국조선해양  초대형 LPG선  척 수주   전세계 발주량     휩쓸어,0
KSS해운      억원 규모 LPG 운송계약 체결,0
KSS해운      억 규모 LPG 운송 계약,0
KSS해운  VLGC선  척 확보에     억원 투자,0
KSS해운      억원 규모 LPG 운송계약 체결,0
한국조선해양  초대형 LPG선  척 건조계약 체결      억원 수주,0
 차영주의 금요시장  변동성 장세 본격 시작  반등  속 덜오른 종목 찾으려면 ,0
 기업공시  월  일 대한항공  아시아나와      억원 규모 항공기 엔진 중정비   ,0
 유가증권 기업공시     일  KSS해운,0
해운업 호황 언제까지   벌크선은 이제 시작   허란의 경제한끼 ,0
KSS해운     억 규모 채무보증 결정,0
KSS해운     억 규모 채무보증 결정,0
   해운업 부활   HMM  컨선   척 발주  해운주 조정 끝내고 재도약하나,0
   매출   조원 넘길것  HMM 팬오션 등 해운주  순풍 ,0
해운주  정부  매출   조  계획 발표에 강세,0
 특징주       년엔 해운 매출액   조원    해운주  정부 계획 발표에 상   ,0
 특징주  운임지수 상승에 해운  동반 강세 HMM    ,0
 특징주  해상 운임 고공행진   HMM 등 해운사 강세,0
 델타 변이 에 주춤한 해운주   실적 타고 반등할까,0
해운주  델타변이에 내리막길  실적 타고 반등하나,0
HMM   분기 영업이익도  조원 전망  팬오션도     늘듯,0
역대급 해상운임 컨테이너 선사  초호황 ,0
KSS해운   분기 영업이익    억원 전년           주목 e공시 ,0
KSS해운   분기 영업익    억원 전년      ,0
KSS해운   분기 영업익      억 전년비       ,0
KSS해운   분기 영업익    억 전년비        ,0
MSC  HMM 인력 빼가기 본격화   선원  통째 스카우트 도,0
 단독   선원 통째 스카우트  스위스 MSC  HMM 인력 빼가기 본격화,0
부산서  오션폴리텍 해기사 취업박람회    개 국내선사 참여,0
현대상선  초대형 컨테이너선   척  월부터 유럽항로 순차투입,1
SBS  상승출발 후 현재          최근 주가 상승흐름 유지,1
 KSS해운     이상 상승        Q  매출액    억         영   ,1
KSS해운  전일대비           이평선 역배열 상황에서 반등 시도,1
 잠정실적 KSS해운  매출액  영업이익 모두  년 최고 수준 달성  연결 ,1
KSS해운   년 연속 영업이익률    대 영업익    억원으로 사상최대,1
KSS해운       Q 영업익    억 전년 동기       ,1
KSS해운  지난해  분기 영업익    억 전년비       ,1
KSS해운 주당    원 현금 배당 결정,1
 유가증권시장 공시  코오롱플라스틱   KSS해운,1
KSS해운   주당    원 현금배당 결정,1
KSS해운  보통주  주당    원 현금배당,1
KSS해운  주당    원 현금배당 결정,1
금호석화 현대모비스 경험 전문성  CEO 출신  사외이사 뜬다,1
현대중공업     억원 규모 LPG선  척 수주,1
 이데일리N  대한진단검사의학회  코로나   진단검사  하루  만  천 건 수행할   ,1
현대  LPG선 수주 순항     억 초대형급 계약,1
현대중공업그룹  초대형 LPG선  척 수주    억 규모,1
현대 그룹  초대형 LPG선  척 수주    억 규모,1
현대중공업그룹     억원 규모 LPG선 수주,1
현대 그룹     억원 규모 초대형 LPG운반선 계약,1
현대중공업그룹  초대형 LPG선  척 수주,1
현대 그룹     만 급 초대형 LPG선 수주,1
현대 그룹   만     급 초대형 LPG선 수주,1
현대중공업그룹  초대형 LPG선  척 수주,1
현대  초대형 LPG선 수주,1
현대중공업 초대형 LPG선  척 수주,1
현대 그룹  KSS해운과    억원 초대형 LPG운반선 계약,1
 LNG 이어 LPG선 뜬다  글로벌시장 장악 나선   조선업계,1
운수창고업         이 강세인 가운데  코스피도 상승 흐름         ,1
실적의 힘 코로나 조정장서도 신고가 속출,1
 코로나    KSS해운  사회복지공동모금회에     만원 기탁,1
KSS해운도     만원 기탁,1
포스코 ICT  상승출발 후 현재            외국인      만 주 순매   ,1
운수창고업         이 약세인 가운데  코스피도 하락 흐름         ,1
KSS해운 수주공시   대선계약        억원  매출액대비        ,1
KSS해운 Waterfront Shipping Company Limited과      ,1
장 중 기업공시  월   일 ,1
KSS해운     억 규모 신규시설 투자,1
 공시  KSS해운      억원 규모 대선 계약 수주,1
KSS해운     억 규모 신규시설 투자,1
KSS해운      억 규모 대선 계약,1
KSS해운  Waterfront Shipping Company와     억원 규모   ,1
 fnRASSI 동일고무벨트  부산가스 등   종목   주 신고가 경신,1
 특징주  해운주  정부 긴급지원에 강세,1
 fnRASSI KSS해운            주 신고가 경신           ,1
 KSS해운      이상 상승  최근  일간 기관 대량 순매도,1
 KSS해운    주 신고가 경신  최근  일간 기관 대량 순매도,1
 특징주  문재인 대통령  세계 위 해운강국 도약  천명  해운사  강세,1
  대통령  해운강국  천명  팬오션 등 강세,1
 특징주  해운 관련주  정부 지원 소식에 강세,1
KSS해운  MR 탱커 사업 진출,1
KSS해운 수주공시   대선계약      억원  매출액대비        ,1
  일 장 마감 후 주요 종목 뉴스,1
 유가증권시장 공시  제주항공   금호산업   신세계 등,1
장 중 기업공시  월   일 ,1
KSS해운     억 규모 대선계약 체결,1
KSS해운     억 규모 선박  척 취득,1
KSS해운     억 규모 선박  척 취득 결정,1
KSS해운  MR 탱커 사업 신규 진출,1
KSS해운     억원 규모 공급계약 체결,1
코로나 뚫은  등 펀드  한달 수익률    ,1
KSS해운 임직원  코로나    재난지원금 기부 동참,1
운수창고업         이 강세인 가운데  코스피도 상승 흐름         ,1
KSS해운  하모니케미스트호 명명식 거행,1
대한해운  해운 테마 상승세에        ,1
KSS해운     억원 규모 채무보증 결정,1
  일 장 마감 후 주요 종목뉴스,1
KSS해운      억원 규모 채무보증 결정,1
 재송   일 장 마감 후 주요 종목뉴스,1
SK바이오팜 신드롬  시총 포스코 제쳤다,1
  일 장마감 후 주요 종목 뉴스,1
KSS해운   분기 영업이익    억 전년동기          감소,1
KSS해운   분기 영업익    억 전년비       ,1
KSS해운   분기 영업익    억 전년비        ,1
 재송   일 장마감 후 주요 종목 뉴스,1
 기업공시  월  일 우리들휴브레인    억 규모 초록뱀 CB 취득 등,1
 재송  일 장 마감 후 주요 종목 뉴스,1
 유가증권 기업공시    일  SK 등,1
대한해운 이달      폭발적 상승  매도 타이밍 언제 ,1
흠  해운   HMM 너무 올랐나,1
해운업 주가 너무 올랐나 대한해운 팬오션 등 하락,1
살아나는 해운업계  불황의 늪 벗어났나,1
 영업이익 강소기업       KSS해운       노선에 집중  년간 이익률     ,1
비대면 시대  격변하는 기업환경  혁신 으로 대한민국 빛냈다,1
태웅로직스   Q 호실적 신사업 기대로 주가도 화답,1
해운업 호황  반짝일까 계속될까     가지 관전 포인트는,1
최대실적 운임급등 파업  해운업계  올해  사상 첫  경험 수두룩,1
호르무즈 돌아갈 수도 없고  해운업계  이란 선박 억류에  긴장 ,1
장 중 기업공시  월   일 ,1
KSS해운  초대형LPG운반선 확보 위해    억 규모 신규시설투자,1
KSS해운     억원 규모 선박 투자,1
KSS해운     억 규모 선박 투자,1
신영   KSS해운  첫 공시한 장기운송계약 주목 목표가  ,1
 기업공시  월   일 에이디테크  SK하이닉스에    억 규모 메모리 컨트롤러    ,1
치솟는 벌크선 운임   더 힘찬 해운주  뱃고동 ,1
흥아해운 워크아웃  월까지 연장  장금상선 포스코인터 공동 인수 가능성,1
KSS해운  주당    원 현금배당 결정,1
KSS해운  보통주당    원 현금배당 결정,1
KSS해운  보통주당    원 현금배당 결정,1
 일 장 마감 후 주요 종목뉴스,1
KSS해운  지난해 영업익    억 전년       ,1
채무 조정 후 인수 합병 성공할까  흥아해운  운명의  주일 ,1
 특징주  해운   부활 날개짓   운임 증가에 고공행진,1
  금리 안정에 코스피 강세   엔지켐     ,1
 개미 힘 으로     선 바짝 연기금 한달만에 소폭 순매수,1
정부 올해   조 해운매출 목표  HMM 팬오션 태웅로직스  순항 ,1
운임 상승  돛  달았나  해운주 상승 마감,1
 해운주  운임 강세 이어질 것  HMM  장중    상승,1
 특징주 HMM 등 해운  강세    운임 강세 모멘텀 이어질 것 ,1
원자재 시장 활황에 벌크선 운임   년  최고치,1
 차영주의 금요시장   분기 잘 팔았는데 주가는  실적 만 믿으면 안 되는 이유 ,1
  일 장 마감 후 주요 종목 뉴스,1
KSS해운   분기 영업이익    억원 전년동기대비    감소,1
KSS해운   분기 영업익    억 전년비        ,1
KSS해운   분기 영업익    억 전년        감소,1
 물 들어올 때 노 젓자  현대    월 상장한다,1
조선 해운 비상장사  호황 업고 올가을 IPO 추진,1
 조간브리핑  삼성전자    만 전자 기대했는데 목표가 연이어 하향,1
 일 장 마감 후 주요 종목 뉴스,1
VIP운용  KSS해운 지분           ,1
 일 장 마감 후 주요 종목 뉴스,1
 특징주  해운   업황 호조 실적 기대감에   팬오션    등 강세,1
 KSS해운       지속가능경영 보고서 발간,1
